faceMatch,panMatched,livenessPassed,ocrConfidence,status
94,1,1,84,0
48,1,0,64,2
37,1,1,64,2
71,1,1,80,0
64,1,1,100,1
70,1,1,80,0
47,1,1,97,1
78,1,1,100,0
70,1,1,75,0
99,1,1,69,1
24,1,1,78,2
99,1,1,76,0
91,1,1,61,1
75,1,1,83,0
35,1,1,80,2
35,1,1,86,2
52,1,1,75,1
98,1,1,95,0
84,1,1,91,0
93,1,1,60,1
66,1,1,80,1
33,1,1,92,2
21,1,1,93,2
97,1,1,74,0
75,1,0,63,2
58,1,1,79,1
63,1,1,91,1
100,1,1,67,1
69,1,1,99,1
84,1,1,72,0
75,1,1,84,0
85,1,1,70,0
69,1,1,74,1
46,1,1,91,1
30,1,1,75,2
53,1,1,69,1
25,1,1,78,2
64,1,1,67,1
76,1,1,83,0
24,1,1,91,2
54,1,1,68,1
30,1,1,99,2
28,1,1,82,2
25,1,1,84,2
68,1,1,61,1
86,1,0,88,2
70,0,1,100,1
27,1,1,80,2
64,1,1,87,1
41,0,1,69,2
22,1,1,87,2
52,1,1,73,1
78,0,1,72,1
99,1,1,69,1
34,1,1,73,2
97,1,1,63,1
32,1,1,81,2
28,1,1,84,2
89,1,1,85,0
71,1,1,96,0
37,1,1,79,2
22,1,1,100,2
46,1,1,89,1
50,0,0,89,2
48,0,1,92,2
40,1,1,85,1
43,1,1,98,1
49,1,1,71,1
54,1,1,77,1
84,1,1,64,1
99,0,1,91,1
66,1,1,78,1
70,1,1,65,1
92,1,1,60,1
74,1,1,68,1
78,0,1,75,1
37,1,1,85,2
23,1,1,71,2
49,1,1,87,1
82,1,1,71,0
58,1,1,84,1
48,1,1,80,1
50,1,1,96,1
57,1,1,63,1
93,1,1,69,1
26,1,1,71,2
43,1,0,69,2
92,1,1,69,1
74,0,1,80,1
65,1,1,98,1
57,1,1,99,1
69,1,0,77,2
52,1,1,86,1
47,1,1,90,1
90,1,1,71,0
85,1,1,87,0
70,1,1,76,0
96,1,1,67,1
74,1,1,91,0
58,1,0,67,2
91,1,0,79,2
58,1,1,98,1
40,1,1,87,1
92,1,1,95,0
39,1,1,72,2
80,1,1,94,0
47,1,1,91,1
53,1,1,81,1
37,1,1,96,2
99,1,1,65,1
83,1,1,97,0
57,0,1,63,1
67,1,1,85,1
84,1,1,77,0
100,1,1,78,0
38,1,1,63,2
85,1,1,61,1
99,1,1,99,0
50,1,1,65,1
65,1,0,87,2
43,1,1,70,1
58,1,1,72,1
82,1,1,83,0
78,1,1,97,0
85,1,1,88,0
35,1,1,62,2
78,1,1,64,1
58,1,1,79,1
73,1,1,89,0
98,1,1,69,1
96,1,1,77,0
80,0,1,91,1
49,0,1,74,2
45,1,1,61,1
76,1,1,65,1
66,1,1,62,1
89,1,1,91,0
84,1,1,98,0
78,1,1,98,0
49,1,1,97,1
97,0,1,73,1
62,1,1,62,1
97,1,1,69,1
40,1,0,72,2
98,1,1,77,0
31,1,1,94,2
100,1,1,77,0
24,1,1,89,2
96,1,1,95,0
39,1,1,84,2
52,1,1,74,1
60,1,1,62,1
45,1,1,73,1
64,1,1,97,1
35,1,1,72,2
22,1,1,70,2
95,1,1,80,0
73,1,1,68,1
59,1,1,61,1
30,1,1,90,2
51,1,1,85,1
42,1,1,79,1
56,1,1,66,1
